,society,bedRoom,bathroom,balcony,type,sector,Super_build_area,Carpet_area,Study Room,Servant Room,Pooja Room,age,luxury_score,furnishing_type,location_score,area_ratio,price
455,M3M Merlin,3,4,3+,flat,sector 67,2360.358,1650.6,0,1,0,relatively new,high,2,42,550.1999999999999,3.4
456,M3M Merlin,3,4,3+,flat,sector 67,2360.358,1650.6,0,1,0,relatively new,high,2,42,550.1999999999999,3.5
457,DLF The Icon,4,4,3,flat,sector 53,3660.8,2560.0,0,1,1,undefined,high,1,44,640.0,5.25
458,Ansal Heights,3,3,3,flat,sector 92,2288.0,1600.0,0,1,0,relatively new,low,1,0,533.3333333333334,0.72
459,Professors Enclave CGHS,3,3,3+,flat,sector 56,2002.0,1400.0,0,1,0,old property,low,1,50,466.6666666666667,1.55
460,Vatika Gurgaon 21,4,4,3,flat,sector 83,2788.5,1950.0,0,1,0,relatively new,low,1,42,487.5,1.4
461,Experion Windchants,3,5,3+,flat,sector 112,2804.802,1961.4,0,1,0,relatively new,low,2,40,653.8,3.75
462,Capital Residences 360,3,3,3,flat,sector 70a,1977.976,1383.1999999999998,0,1,0,relatively new,low,1,26,461.0666666666666,1.51
463,Tulip Violet,3,3,2,flat,sector 69,2002.0,1400.0,0,0,1,relatively new,high,2,42,466.6666666666667,1.5
464,Bestech Park View Grand Spa,3,4,3+,flat,sector 81,3289.0,2300.0,0,1,0,relatively new,high,2,42,766.6666666666666,2.2
465,Vatika Gurgaon 21,3,3,2,flat,sector 83,2145.0,1500.0,0,0,0,relatively new,low,1,42,500.0,1.18
466,Alpha Corp GurgaonOne 84,2,2,3,flat,sector 84,1501.5,1050.0,0,0,0,relatively new,low,2,41,525.0,0.85
467,Alpha Corp GurgaonOne 84,3,3,3,flat,sector 84,2431.0,1700.0,0,1,0,relatively new,low,1,41,566.6666666666666,1.49
468,Parsvnath Exotica,4,5,3+,flat,sector 53,3575.0,2500.0,1,1,1,relatively new,high,2,43,625.0,6.5
469,Vatika Gurgaon 21,4,4,3,flat,sector 83,2288.0,1600.0,1,1,0,relatively new,medium,1,42,400.0,1.42
470,DLF The Skycourt,3,3,1,flat,sector 86,1930.929,1350.3,0,0,0,relatively new,low,2,25,450.1,1.72
471,Unitech Fresco,2,2,2,flat,sector 50,1573.0,1100.0,0,0,0,old property,high,2,43,550.0,1.14
472,Ansal Maple Crescent,3,3,3,flat,sector 43,1859.0,1300.0,0,0,0,undefined,medium,2,42,433.3333333333333,1.35
473,Prime Habitat,2,2,1,flat,sector 99a,640.64,448.0,0,0,0,relatively new,medium,1,41,224.0,0.27
474,M3M Woodshire,3,3,3,flat,sector 107,2145.0,1500.0,0,0,0,old property,high,2,16,500.0,1.21
475,Indiabulls Enigma,4,4,3,flat,sector 110,3403.4,2380.0,0,1,0,old property,medium,1,51,595.0,3.45
476,Shapoorji Pallonji Joyville Gurugram,3,3,3,flat,sector 102,1853.852,1296.4,0,0,0,relatively new,medium,1,34,432.13333333333327,1.95
477,Puri Diplomatic Greens,4,5,3+,flat,sector 111,2952.95,2065.0,0,1,0,old property,high,1,44,516.25,3.65
478,DLF Regency Park 2,3,3,3,flat,sector 28,2032.888,1421.6,0,1,0,old property,medium,1,37,473.86666666666673,2.3
479,La Vida by Tata Housing,3,4,3,flat,sector 113,2802.8,1960.0,0,1,0,relatively new,high,1,41,653.3333333333334,3.05
480,La Vida by Tata Housing,3,4,3,flat,sector 113,2516.8,1760.0,0,1,0,relatively new,high,1,41,586.6666666666666,2.35
481,Pareena Coban Residences,2,2,3,flat,sector 99a,1773.1999999999998,1240.0,1,0,0,relatively new,low,1,55,620.0,1.05
482,Pareena Coban Residences,2,2,3,flat,sector 99a,1658.8,1160.0,1,0,0,relatively new,high,1,55,580.0,1.02
483,Pareena Coban Residences,3,5,3,flat,sector 99a,2330.9,1630.0,0,1,0,relatively new,low,1,55,543.3333333333334,1.08
484,Tata Gurgaon Gateway,2,2,2,flat,sector 113,1581.58,1106.0,1,0,0,relatively new,medium,1,52,553.0,1.75
485,Tata Gurgaon Gateway,3,3,3,flat,sector 113,2227.225,1557.5,0,0,0,relatively new,medium,1,52,519.1666666666666,2.45
486,Tata Gurgaon Gateway,5,6,3+,flat,sector 113,9387.95,6565.0,0,0,0,old property,medium,1,52,1313.0,6.0
487,ATS Kocoon,3,3,3,flat,sector 109,1746.745,1221.5,0,0,0,relatively new,high,1,30,407.1666666666667,1.68
488,Shapoorji Pallonji Joyville Gurugram,2,2,2,flat,sector 102,1216.215,850.5,0,0,0,relatively new,medium,1,34,425.25,1.26
489,Conscient Heritage Max,3,4,3+,flat,sector 102,1943.942,1359.4,0,1,0,relatively new,medium,1,50,453.13333333333327,1.82
490,Puri Diplomatic Greens,3,4,2,flat,sector 111,2202.2,1540.0,0,1,0,relatively new,medium,1,44,513.3333333333334,2.58
491,La Vida by Tata Housing,2,2,3,flat,sector 113,1574.573,1101.1,1,0,0,relatively new,medium,1,41,550.55,1.75
492,Sobha City,3,3,2,flat,sector 108,1712.7109999999996,1197.6999999999998,0,0,0,relatively new,medium,1,33,399.2333333333333,2.6
493,Sobha City,3,4,2,flat,sector 108,2005.003,1402.1,0,0,0,relatively new,medium,1,33,467.3666666666666,2.9
494,M3M Woodshire,3,4,3+,flat,sector 107,2363.3609999999994,1652.6999999999998,0,1,0,relatively new,high,1,16,550.9,1.4
495,ATS Tourmaline,4,5,3+,flat,sector 109,3153.15,2205.0,0,1,0,relatively new,medium,1,44,551.25,2.95
496,ATS Tourmaline,3,4,3,flat,sector 109,2587.585,1809.5,0,1,0,relatively new,medium,1,44,603.1666666666666,2.25
497,ATS Tourmaline,3,3,3+,flat,sector 109,1751.75,1225.0,0,0,0,relatively new,medium,1,44,408.3333333333333,1.4
498,SBTL Caladium,3,2,3,flat,sector 109,1881.88,1316.0,0,0,0,relatively new,medium,1,16,438.6666666666667,1.26
499,Tulip Violet,4,4,1,flat,sector 69,1971.97,1379.0,0,0,0,relatively new,medium,1,42,344.75,1.7
500,Tulip Violet,3,3,1,flat,sector 69,1569.5679999999998,1097.6,0,0,1,relatively new,medium,1,42,365.8666666666666,1.3
501,Tulip Violet,3,3,1,flat,sector 69,1569.5679999999998,1097.6,0,0,1,relatively new,medium,1,42,365.8666666666666,1.32
502,Tulip Violet,3,3,2,flat,sector 69,1609.6079999999995,1125.6,0,0,1,relatively new,medium,1,42,375.2,1.43
503,DLF The Ultima,3,3,3+,flat,sector 81,2134.132,1492.4,0,1,0,New Property,high,0,42,497.4666666666666,2.25
504,M3M Golfestate,3,4,3,flat,sector 65,2981.979,2085.3,1,1,0,old property,high,2,51,695.0999999999999,5.4
505,M3M Skywalk,2,2,2,flat,sector 74,1923.35,1345.0,0,0,0,relatively new,high,2,34,672.5,1.6
506,The Lions CGHS,4,4,3+,flat,sector 56,3146.0,2200.0,0,0,0,relatively new,high,2,50,550.0,2.09
507,Emaar Palm Gardens,3,3,3,flat,sector 83,1644.5,1150.0,0,1,0,relatively new,low,2,41,383.3333333333333,1.38
508,BPTP Terra,3,3,3,flat,sector 37d,1424.28,996.0,1,0,0,relatively new,low,2,42,332.0,1.72
509,M3M Skywalk,2,2,3,flat,sector 74,1416.4149999999995,990.5,0,0,0,New Property,low,2,34,495.25,1.47
510,CHD Avenue 71,3,4,3,flat,sector 71,1803.802,1261.4,0,1,0,old property,low,1,30,420.4666666666666,1.1
511,CHD Avenue 71,4,4,3,flat,sector 71,2195.193,1535.1,0,1,0,old property,medium,1,30,383.775,1.32
512,CHD Avenue 71,4,4,3,flat,sector 71,2352.35,1645.0,0,1,0,old property,low,1,30,411.25,1.35
513,HSIIDC Sidco Aravali,3,3,3+,flat,manesar,2590.588,1811.6,0,1,0,old property,low,1,14,603.8666666666667,0.9
514,Shapoorji Pallonji Joyville Gurugram,3,3,3,flat,sector 102,1853.852,1296.4,0,0,0,relatively new,low,1,34,432.13333333333327,2.0
515,Shapoorji Pallonji Joyville Gurugram,3,3,3,flat,sector 102,1693.6919999999998,1184.4,0,0,0,relatively new,low,1,34,394.8,1.8
516,ATS Kocoon,3,3,3,flat,sector 109,1746.745,1221.5,0,0,0,relatively new,medium,1,30,407.1666666666667,1.6
517,Bestech Park View Spa Next,4,4,3+,flat,sector 67,2352.35,1645.0,0,1,1,old property,high,2,42,411.25,2.7
518,DLF The Skycourt,3,3,3,flat,sector 86,2459.6,1720.0,0,0,0,relatively new,low,1,25,573.3333333333334,1.55
519,Bestech Park View Residency,2,2,3,flat,sector 3,1416.4149999999995,990.5,0,0,0,old property,medium,1,51,495.25,1.02
520,Bestech Park View Residency,1,1,2,flat,sector 3,929.5,650.0,0,0,0,old property,medium,1,51,650.0,0.56
521,Ireo Skyon,2,3,2,flat,sector 60,1551.55,1085.0,1,0,0,relatively new,medium,1,43,542.5,2.5
522,Pioneer Park,3,3,3,flat,sector 61,1701.6999999999998,1190.0,0,0,0,old property,medium,2,43,396.6666666666667,2.0
523,Dhoot Time Residency,3,4,3+,flat,sector 63,1718.7169999999996,1201.9,1,0,0,old property,medium,2,17,400.63333333333327,2.2
524,Experion The Heartsong,3,4,3,flat,sector 108,1861.86,1302.0,1,0,0,old property,medium,1,42,434.0,1.65
525,Vatika The Seven Lamps,2,2,2,flat,sector 82,1301.2999999999995,910.0,0,0,0,relatively new,low,1,42,455.0,0.85
526,DLF Wellington Estate,3,3,2,flat,sector 53,1431.4299999999998,1001.0,0,0,0,undefined,medium,2,40,333.66666666666663,2.09
527,Bestech Park View Residency,2,2,3,flat,sector 3,1416.4149999999995,990.5,0,0,0,old property,medium,1,51,495.25,0.98
528,DLF Carlton Estate,3,3,1,flat,sector 53,1363.362,953.4,0,0,0,undefined,medium,2,35,317.8,2.1
529,The Lions CGHS,4,4,3+,flat,sector 56,3432.0,2400.0,0,0,0,old property,low,2,50,600.0,2.05
530,PGR Shree Kripaluji Apartment,3,3,3+,flat,sector 52,3289.0,2300.0,0,0,0,relatively new,medium,2,32,766.6666666666666,1.4
531,Sagar Apartment,3,3,3+,flat,sector 56,2574.0,1800.0,1,1,1,undefined,high,1,50,600.0,1.45
532,Paras Irene,2,2,3,flat,sector 70a,1421.4199999999998,994.0,0,0,0,old property,low,1,42,497.0,1.2
533,Shree Vardhman Victoria,3,4,3,flat,sector 70,1660.23,1161.0,0,1,0,relatively new,low,2,37,387.0,1.65
534,SS The Leaf,2,2,3,flat,sector 85,1641.64,1148.0,0,0,0,relatively new,low,1,42,574.0,1.05
535,Pyramid Urban,2,2,2,flat,sector 67a,1001.0,700.0,0,0,0,relatively new,low,1,31,350.0,0.56
536,Experion Windchants,3,3,2,flat,sector 112,2804.802,1961.4,0,0,0,relatively new,high,1,40,653.8,3.4
537,ATS Triumph,3,4,3+,flat,sector 104,2292.29,1603.0,0,1,0,relatively new,high,1,52,534.3333333333334,1.73
538,Eldeco Accolade,2,2,3,flat,sohna,1276.275,892.5,0,0,0,relatively new,high,1,18,446.25,0.72
539,Eldeco Accolade,2,2,2,flat,sohna,1458.457,1019.9,1,0,0,relatively new,high,2,18,509.95,0.78
540,M3M Golfestate,3,4,3,flat,sector 65,3414.84,2388.0,0,1,0,relatively new,low,1,51,796.0,5.5
541,Sidhartha NCR One Phase 1,2,2,2,flat,sector 95,1458.6,1020.0,0,0,0,relatively new,high,1,5,510.0,0.43
542,M3M Woodshire,2,2,3+,flat,sector 107,1508.65,1055.0,0,0,1,relatively new,high,2,16,527.5,0.8
543,ATS Triumph,4,4,3+,flat,sector 104,3153.15,2205.0,0,1,0,relatively new,high,1,52,551.25,2.65
544,DLF Exclusive Floors,3,3,2,flat,sector 53,2009.15,1405.0,0,0,0,undefined,medium,1,55,468.3333333333333,2.35
545,M3M Woodshire,3,3,3+,flat,sector 107,2087.8,1460.0,0,0,1,relatively new,high,2,16,486.6666666666667,1.29
546,M3M Woodshire,3,4,3+,flat,sector 107,2545.4,1780.0,0,1,1,relatively new,high,1,16,593.3333333333334,1.39
547,TARC Maceo,3,4,3+,flat,sector 91,1894.75,1325.0,1,1,0,relatively new,medium,1,25,441.6666666666667,1.5
548,TARC Maceo,4,4,3,flat,sector 91,2726.724,1906.8,0,1,0,relatively new,medium,1,25,476.7,1.9
549,The Close North,3,3,3,flat,sector 50,2645.5,1850.0,0,0,0,old property,high,2,42,616.6666666666666,2.35
550,Ansal API Celebrity Suites,1,1,1,flat,sector 2,735.735,514.5,0,0,0,old property,medium,2,61,514.5,0.6
551,DLF Ridgewood Estate,3,3,1,flat,sector 28,1371.37,959.0,0,0,0,undefined,medium,2,27,319.66666666666663,2.0
552,M3M Skywalk,2,2,3+,flat,sector 74,1573.0,1100.0,0,0,0,relatively new,high,1,34,550.0,1.57
553,Corona Optus,3,3,3+,flat,sector 37c,2845.7,1990.0,0,1,0,New Property,low,1,40,663.3333333333334,1.44
554,Corona Optus,3,3,3,flat,sector 37c,1379.95,965.0,0,0,0,New Property,low,1,40,321.6666666666667,1.26
555,M3M Sierra 68,2,2,2,flat,sector 68,1430.0,1000.0,0,0,0,New Property,high,2,42,500.0,1.05
556,Parsvnath Exotica,4,4,3,flat,sector 53,3393.39,2373.0,0,1,0,old property,medium,2,43,593.25,6.44
557,Pioneer Araya,4,4,3+,flat,sector 62,4804.8,3360.0,0,1,1,relatively new,medium,2,42,840.0,7.56
558,DLF Trinity Towers,3,3,3+,flat,sector 53,2802.8,1960.0,0,1,1,old property,medium,2,44,653.3333333333334,3.8
559,DLF Park Place,4,4,2,flat,sector 54,2193.62,1534.0,0,1,0,old property,high,0,34,383.5,6.75
560,ATS Tourmaline,3,4,3+,flat,sector 109,2152.15,1505.0,0,1,0,relatively new,high,1,44,501.6666666666667,1.75
561,Kiran Residency,3,4,3+,flat,sector 56,2645.5,1850.0,0,1,0,undefined,medium,1,50,616.6666666666666,1.54
562,Emaar Gurgaon Greens,3,3,3,flat,sector 102,1651.65,1155.0,0,1,0,relatively new,medium,2,42,385.0,1.4
563,Shapoorji Pallonji Joyville Gurugram,2,2,2,flat,sector 102,915.915,640.5,0,0,0,relatively new,medium,1,34,320.25,0.97
564,Shapoorji Pallonji Joyville Gurugram,2,2,2,flat,sector 102,1360.359,951.3,0,0,0,relatively new,medium,1,34,475.65,1.35
565,Conscient Heritage Max,3,4,3+,flat,sector 102,1943.942,1359.4,0,1,0,relatively new,medium,2,50,453.13333333333327,1.75
566,Sobha City,3,3,3,flat,sector 108,1887.6,1320.0,0,0,0,relatively new,low,1,33,440.0,2.45
567,Paras Dews,4,6,3+,flat,sector 106,2006.29,1403.0,0,1,0,relatively new,high,1,52,350.75,1.5
568,La Vida by Tata Housing,3,4,3+,flat,sector 113,2473.9,1730.0,0,1,0,relatively new,low,1,41,576.6666666666666,2.4
569,La Vida by Tata Housing,3,3,3+,flat,sector 113,2402.4,1680.0,1,0,0,relatively new,high,1,41,560.0,2.45
570,La Vida by Tata Housing,3,3,3+,flat,sector 113,3003.0,2100.0,0,1,0,relatively new,high,1,41,700.0,3.0
571,La Vida by Tata Housing,3,2,2,flat,sector 113,1744.6,1220.0,0,0,0,relatively new,low,1,41,406.6666666666667,1.65
572,Paras Dews,2,2,3+,flat,sector 106,1487.2,1040.0,0,0,0,relatively new,low,1,52,520.0,0.88
573,Paras Dews,2,2,3+,flat,sector 106,1208.35,845.0,0,0,0,relatively new,low,1,52,422.5,0.88
574,Paras Dews,3,4,3+,flat,sector 106,1615.9,1130.0,0,1,0,relatively new,low,1,52,376.6666666666667,1.28
575,Paras Dews,4,5,3+,flat,sector 106,2006.29,1403.0,0,1,0,relatively new,low,1,52,350.75,1.34
576,Paras Dews,4,5,3+,flat,sector 106,2006.29,1403.0,0,1,0,relatively new,low,1,52,350.75,1.32
577,Paras Dews,3,4,3+,flat,sector 106,1615.9,1130.0,1,1,0,relatively new,low,1,52,376.6666666666667,1.13
578,Pareena Coban Residences,4,5,3+,flat,sector 99a,2759.9,1930.0,0,1,0,relatively new,low,1,55,482.5,1.38
579,Pareena Coban Residences,3,3,3,flat,sector 99a,2030.6,1420.0,0,1,0,relatively new,low,1,55,473.3333333333333,1.16
580,La Vida by Tata Housing,3,3,3,flat,sector 113,2658.37,1859.0,0,1,0,New Property,high,1,41,619.6666666666666,2.33
581,La Vida by Tata Housing,3,4,3,flat,sector 113,3203.2,2240.0,0,1,0,New Property,high,1,41,746.6666666666666,3.05
582,Mapsko Mount Ville,3,3,2,flat,sector 79,1232.66,862.0,1,0,1,relatively new,high,2,42,287.3333333333333,1.25
583,Mapsko Mount Ville,3,3,3,flat,sector 79,1234.09,863.0,1,0,1,relatively new,high,1,42,287.6666666666667,1.25
584,Mapsko Mount Ville,3,3,3,flat,sector 79,1234.09,863.0,1,0,1,relatively new,high,1,42,287.6666666666667,1.1
585,Alpha Corp GurgaonOne 84,4,4,3+,flat,sector 84,3718.0,2600.0,0,1,0,relatively new,medium,1,41,650.0,2.28
586,SS The Leaf,2,2,2,flat,sector 85,1387.1,970.0,0,1,0,relatively new,medium,1,42,485.0,1.2
587,SS The Leaf,2,2,3,flat,sector 85,1309.88,916.0,0,0,0,relatively new,medium,1,42,458.0,1.22
588,SS The Leaf,2,2,3,flat,sector 85,1261.26,882.0,1,0,0,relatively new,medium,1,42,441.0,1.1
589,SS The Leaf,2,2,3,flat,sector 85,1374.23,961.0,0,0,1,relatively new,medium,1,42,480.5,1.15
590,Mapsko Mount Ville,3,3,3,flat,sector 79,1239.81,867.0,1,0,1,relatively new,high,2,42,289.0,1.2
591,Emaar Palm Gardens,3,3,3,flat,sector 83,1565.85,1095.0,1,1,1,relatively new,high,2,41,365.0,1.4
592,Vatika Lifestyle Homes,3,3,2,flat,sector 83,1756.755,1228.5,1,0,1,relatively new,high,2,42,409.5,1.1
593,Vatika City Homes,3,3,2,flat,sector 83,1741.74,1218.0,0,0,0,relatively new,high,2,32,406.0,1.0
594,Alpha Corp GurgaonOne 84,3,4,3,flat,sector 84,2145.0,1500.0,0,1,0,relatively new,medium,1,41,500.0,1.52
595,Emaar Palm Gardens,3,4,3,flat,sector 83,1778.9199999999998,1244.0,1,1,1,relatively new,high,2,41,414.6666666666667,1.8
596,Emaar Palm Gardens,3,3,3+,flat,sector 83,1851.85,1295.0,1,1,1,relatively new,high,2,41,431.6666666666667,1.6
597,Mapsko Mount Ville,3,4,3,flat,sector 79,1531.53,1071.0,0,1,0,relatively new,high,2,42,357.0,1.55
598,Mapsko Mount Ville,3,3,2,flat,sector 79,1239.81,867.0,1,0,1,relatively new,high,1,42,289.0,1.3
599,Bestech Park View Grand Spa,3,4,3+,flat,sector 81,3003.0,2100.0,1,1,0,relatively new,high,2,42,700.0,2.25
600,Orchid Petals,5,5,3+,flat,sector 49,4119.115,2880.5,1,1,1,relatively new,low,1,36,576.1,4.79
601,TARC Maceo,3,3,3+,flat,sector 91,2288.0,1600.0,0,0,0,relatively new,medium,1,25,533.3333333333334,1.4
602,Godrej Oasis,3,3,3+,flat,sector 88a,2954.38,2066.0,0,1,0,relatively new,medium,1,18,688.6666666666666,1.38
603,Godrej Oasis,3,3,3+,flat,sector 88a,2561.13,1791.0,0,0,0,relatively new,medium,1,18,597.0,1.3
604,Godrej Aria,2,2,2,flat,sector 79,1716.0,1200.0,1,0,0,relatively new,low,1,49,600.0,1.0
605,Godrej Oasis,2,2,3,flat,sector 88a,2073.5,1450.0,1,0,0,relatively new,medium,1,18,725.0,1.0
606,Godrej Oasis,2,2,2,flat,sector 88a,1869.01,1307.0,0,0,0,relatively new,medium,1,18,653.5,0.95
607,Ireo Uptown,2,3,3,flat,sector 66,1788.9299999999998,1251.0,0,1,0,relatively new,medium,2,24,625.5,1.85
608,Emaar MGF Palm Hills,4,3,3,flat,sector 77,1951.95,1365.0,0,1,0,relatively new,medium,1,42,341.25,1.65
609,M3M Woodshire,3,3,3,flat,sector 107,1944.943,1360.1,0,0,0,relatively new,medium,1,16,453.3666666666666,1.32
610,M3M Woodshire,2,2,3,flat,sector 107,1535.534,1073.8,1,0,0,relatively new,medium,1,16,536.9,1.02
611,SBTL Caladium,4,5,3,flat,sector 109,3058.055,2138.5,0,0,0,relatively new,medium,1,16,534.625,1.88
612,Conscient Heritage Max,3,4,3,flat,sector 102,2151.149,1504.3,1,1,0,relatively new,medium,1,50,501.4333333333333,2.15
613,Puri Diplomatic Greens,3,4,2,flat,sector 111,2202.2,1540.0,0,1,0,old property,medium,1,44,513.3333333333334,2.58
614,Puri Diplomatic Greens,3,3,2,flat,sector 111,1701.6999999999998,1190.0,0,0,0,relatively new,medium,1,44,396.6666666666667,2.25
615,ATS Tourmaline,3,4,3+,flat,sector 109,2152.15,1505.0,0,1,0,relatively new,medium,1,44,501.6666666666667,1.75
616,Experion The Heartsong,2,3,3,flat,sector 108,1284.283,898.0999999999999,0,0,0,relatively new,medium,1,42,449.05,0.93
617,Experion Windchants,3,5,3+,flat,sector 112,3766.763,2634.1,0,1,0,relatively new,low,2,40,878.0333333333333,4.75
618,SS The Leaf,4,5,3+,flat,sector 85,2814.812,1968.4,0,0,0,relatively new,medium,1,42,492.1,2.2
619,Tulip Violet,4,4,2,flat,sector 69,2302.3,1610.0,1,1,1,relatively new,high,1,42,402.5,1.7
620,Emaar Gurgaon Greens,3,3,3,flat,sector 102,1651.65,1155.0,0,1,0,relatively new,low,2,42,385.0,1.39
621,The Close North,3,3,3+,flat,sector 50,3146.0,2200.0,0,1,0,old property,high,1,42,733.3333333333334,2.7
622,BPTP Terra,4,4,3,flat,sector 37d,2574.0,1800.0,0,0,0,relatively new,medium,2,42,450.0,1.75
623,ATS Tourmaline,3,3,3+,flat,sector 109,1751.75,1225.0,0,0,0,relatively new,low,1,44,408.3333333333333,1.4
624,M3M Woodshire,4,5,3+,flat,sector 107,2770.768,1937.6,0,1,0,relatively new,low,1,16,484.4,1.65
625,DLF The Icon,4,4,3+,flat,sector 53,3289.0,2300.0,0,1,0,undefined,high,2,44,575.0,6.0
626,Bestech Park View City,3,4,3,flat,sector 48,2511.08,1756.0,1,0,0,old property,medium,2,66,585.3333333333334,1.8
627,Hector Trimurti Heights,4,3,3,flat,sector 39,3360.5,2350.0,0,1,0,undefined,low,0,46,587.5,1.5
628,Pyramid Urban,2,2,1,flat,sector 67a,845.13,591.0,0,0,0,relatively new,low,2,31,295.5,0.53
629,Shree Vardhman Flora,3,3,2,flat,sector 90,2788.5,1950.0,1,0,0,relatively new,low,2,49,650.0,0.92
630,DLF The Ultima,3,3,3,flat,sector 81,3015.87,2109.0,0,1,0,relatively new,low,2,42,703.0,2.7
631,Shree Vardhman Flora,2,3,2,flat,sector 90,1933.36,1352.0,1,0,0,relatively new,low,2,49,676.0,0.7
632,SS The Leaf,2,2,2,flat,sector 85,2489.63,1741.0,0,0,0,relatively new,low,2,42,870.5,1.25
633,Umang Winter Hills,2,2,2,flat,sector 77,1430.0,1000.0,0,0,0,relatively new,low,2,49,500.0,0.8
634,Unitech Fresco,3,4,3+,flat,sector 50,2288.0,1600.0,0,1,0,old property,high,2,43,533.3333333333334,1.8
635,The Close North,3,4,3+,flat,sector 50,2860.0,2000.0,0,1,0,old property,high,2,42,666.6666666666666,2.65
636,Vatika Gurgaon 21,3,3,3,flat,sector 83,2145.0,1500.0,0,0,0,relatively new,medium,1,42,500.0,1.05
637,Unitech Fresco,3,3,3+,flat,sector 50,2073.5,1450.0,0,0,0,old property,high,2,43,483.3333333333333,1.88
638,Alpha Corp GurgaonOne 84,2,2,3,flat,sector 84,1716.0,1200.0,1,0,0,relatively new,low,2,41,600.0,1.15
639,Vatika Gurgaon 21,4,4,3,flat,sector 83,2860.0,2000.0,0,1,0,relatively new,low,1,42,500.0,1.33
640,Unitech Harmony,3,4,2,flat,sector 50,3146.0,2200.0,0,1,0,relatively new,high,2,52,733.3333333333334,2.6
641,The Close North,3,3,3+,flat,sector 50,3003.0,2100.0,0,1,0,old property,high,2,42,700.0,2.97
642,Sapphire Eighty Three,1,1,1,flat,sector 83,669.24,468.0,0,0,0,relatively new,low,0,14,468.0,0.4
643,Vatika City,3,4,3,flat,sector 49,2253.251,1575.6999999999998,0,1,1,old property,high,2,23,525.2333333333332,2.65
644,Godrej Summit,3,4,3+,flat,sector 104,2596.88,1816.0,0,1,0,relatively new,medium,2,51,605.3333333333334,1.16
645,Godrej Summit,3,4,3+,flat,sector 104,2574.0,1800.0,0,1,0,relatively new,medium,2,51,600.0,1.05
646,Godrej Summit,4,5,3+,flat,sector 104,3861.0,2700.0,1,1,1,relatively new,medium,1,51,675.0,1.35
647,Godrej Summit,4,5,3+,flat,sector 104,3849.56,2692.0,1,1,1,relatively new,medium,1,51,673.0,1.35
648,Emaar MGF The Palm Drive,3,3,3,flat,sector 66,2216.5,1550.0,1,0,0,relatively new,medium,2,43,516.6666666666666,2.85
649,Pivotal Devaan,2,2,1,flat,sector 84,583.583,408.1,0,0,0,relatively new,low,1,36,204.05,0.35
650,M3M Woodshire,2,2,3+,flat,sector 107,1367.3659999999998,956.2,0,0,0,relatively new,medium,1,16,478.1,0.88
651,Adani M2K Oyster Grande,3,4,3+,flat,sector 102,3003.0,2100.0,1,0,0,relatively new,low,2,42,700.0,2.4
652,Ireo Skyon,4,5,3,flat,sector 60,3432.0,2400.0,0,1,0,relatively new,low,2,43,600.0,3.6
653,La Vida by Tata Housing,2,2,2,flat,sector 113,1292.72,904.0,0,0,0,relatively new,medium,1,41,452.0,1.45
654,The Close North,3,3,3+,flat,sector 50,2645.5,1850.0,0,0,0,old property,high,2,42,616.6666666666666,2.35
655,Vatika The Seven Lamps,2,2,2,flat,sector 82,1436.4349999999995,1004.5,1,0,0,relatively new,medium,2,42,502.25,0.94
656,Vatika The Seven Lamps,2,2,2,flat,sector 82,1301.2999999999995,910.0,0,0,0,relatively new,high,2,42,455.0,0.8
657,The Close South,3,4,3+,flat,sector 50,3217.5,2250.0,0,1,0,old property,high,2,31,750.0,3.1
658,Vatika The Seven Lamps,3,3,3+,flat,sector 82,2162.16,1512.0,1,1,0,relatively new,high,2,42,504.0,1.39
659,Vatika The Seven Lamps,2,2,3+,flat,sector 82,1436.4349999999995,1004.5,1,0,0,relatively new,high,2,42,502.25,0.94
660,Vatika The Seven Lamps,2,2,2,flat,sector 82,1299.2979999999998,908.6,0,0,0,relatively new,medium,2,42,454.3,0.78
661,Vatika The Seven Lamps,2,2,2,flat,sector 82,1431.4299999999998,1001.0,1,0,0,relatively new,medium,1,42,500.5,0.86
662,Orris Aster Court,2,2,2,flat,sector 85,1394.25,975.0,0,0,0,relatively new,low,1,17,487.5,0.68
663,Godrej 101,3,4,3+,flat,sector 79,2246.244,1570.8,0,1,0,relatively new,medium,1,16,523.6,2.03
664,Orris Carnation Residency,3,4,3,flat,sector 85,1823.25,1275.0,0,1,0,relatively new,low,2,35,425.0,0.8
665,Shree Vardhman Flora,2,2,3,flat,sector 90,1358.5,950.0,1,0,0,relatively new,low,1,49,475.0,0.64
666,SS The Coralwood,3,3,2,flat,sector 84,1930.5,1350.0,0,0,0,relatively new,low,1,49,450.0,1.01
667,Shree Vardhman Flora,4,5,2,flat,sector 90,2788.5,1950.0,1,1,0,New Property,medium,1,49,487.5,1.27
668,Vatika Gurgaon 21,2,2,2,flat,sector 83,1246.245,871.5,0,0,0,old property,high,2,42,435.75,0.84
669,Tulip Violet,4,4,2,flat,sector 69,2012.01,1407.0,0,0,1,relatively new,medium,1,42,351.75,1.68
670,Tulip Violet,4,4,1,flat,sector 69,1971.97,1379.0,0,0,1,relatively new,medium,1,42,344.75,1.66
671,Tulip Violet,3,3,2,flat,sector 69,1579.5779999999995,1104.6,0,0,1,relatively new,medium,1,42,368.2,1.4
672,Sare Homes,3,3,2,flat,sector 92,1181.1799999999998,826.0,0,0,0,relatively new,low,1,5,275.3333333333333,0.5
